[Parsed_ebur128_0 @ 0x65097e979840] t: 6.49998    TARGET:-23 LUFS    M: -24.3 S: -30.6     I: -31.7 LUFS       LRA:   1.3 LU  FTPK: -17.1 -17.2 dBFS  TPK: -17.1 -17.2 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.59998    TARGET:-23 LUFS    M: -24.1 S: -30.6     I: -31.4 LUFS       LRA:   1.4 LU  FTPK: -19.8 -20.0 dBFS  TPK: -17.1 -17.2 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.69998    TARGET:-23 LUFS    M: -24.6 S: -30.6     I: -31.1 LUFS       LRA:   2.0 LU  FTPK: -38.1 -37.3 dBFS  TPK: -17.1 -17.2 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.79998    TARGET:-23 LUFS    M: -29.3 S: -30.7     I: -31.1 LUFS       LRA:   2.0 LU  FTPK: -38.6 -39.3 dBFS  TPK: -17.1 -17.2 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.89998    TARGET:-23 LUFS    M: -29.8 S: -30.3     I: -31.1 LUFS       LRA:   2.0 LU  FTPK: -17.1 -17.1 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.99998    TARGET:-23 LUFS    M: -25.0 S: -29.1     I: -30.9 LUFS       LRA:   2.0 LU  FTPK: -17.3 -17.3 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.09998    TARGET:-23 LUFS    M: -24.3 S: -28.9     I: -30.6 LUFS       LRA:   2.3 LU  FTPK: -18.5 -18.6 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.19998    TARGET:-23 LUFS    M: -23.4 S: -28.5     I: -30.4 LUFS       LRA:   3.5 LU  FTPK: -17.5 -17.5 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.29998    TARGET:-23 LUFS    M: -23.0 S: -28.0     I: -30.1 LUFS       LRA:   3.8 LU  FTPK: -17.1 -17.2 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.39998    TARGET:-23 LUFS    M: -25.3 S: -28.0     I: -30.0 LUFS       LRA:   4.0 LU  FTPK: -21.5 -21.5 dBFS  TPK: -17.1 -17.1 dBFS
