#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf58.45.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1344x768
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,         78,         78,        1,  1548288, dd88dafe8dea6d79a9fbe5d58caaf12b
0,         79,         79,        1,  1548288, d90431877dde6abc32e74914d3a5f465
0,         80,         80,        1,  1548288, 9c274adf36ee967a86df04d2d76729ce
0,         81,         81,        1,  1548288, 3519222c700a5e7abdc69bd2b7055216
0,         82,         82,        1,  1548288, 395fc7a25fe33773b19337c6dba95b9c
0,         83,         83,        1,  1548288, 891f26a0802b2daeca274056d01e92bd
0,         84,         84,        1,  1548288, 2fee3c715b325b9be42a160ed5133dc3
0,         85,         85,        1,  1548288, e6d9b6fa173036fc5bb754d555675679
0,         86,         86,        1,  1548288, 657c03b16d8c65aa4ece04eb858082de
0,         87,         87,        1,  1548288, f47555404358c174200366d49012a0b9
0,         88,         88,        1,  1548288, 65eda03a2c7952c176e18ec3acc56b40
0,         89,         89,        1,  1548288, 65d6e36e5dab8126b0df4fb3aa7d0b5c
0,         90,         90,        1,  1548288, 512b8666a43118cedafe8589ea276342
0,         91,         91,        1,  1548288, 77dfcb09fb313e807020e43eb997b05e
0,         92,         92,        1,  1548288, fbfbe02dbf45a1510f860dffcbf9ce20
0,         93,         93,        1,  1548288, 05b76236b518db04c0a21901ef4321c2
0,         94,         94,        1,  1548288, c8033c8fa4280e9dc5aa14b1e140d04e
0,         95,         95,        1,  1548288, 82ce119a5907c8258c4b403f96a32269
0,         96,         96,        1,  1548288, 893b997d8fa2d3e6835581cee6d94e60
0,         97,         97,        1,  1548288, ca3856ae13d3ae1a69d608520b6e4685
0,         98,         98,        1,  1548288, 62381a9c6b91554ca4c5aadd1b876d1a
0,         99,         99,        1,  1548288, 352227f590679bca4283d85a1a099082
0,        100,        100,        1,  1548288, 60f052134ae656034082bf3896813310
0,        101,        101,        1,  1548288, 201fc846a3fd540f5febc3b54c4c2175
0,        102,        102,        1,  1548288, 28ef563d046ec2e896c34d9af4419991
0,        103,        103,        1,  1548288, 8fc0f5c0bc5ba8f36d557393a2e5fcee
0,        104,        104,        1,  1548288, be8df0be7292950e975436a37aa7b8c6
0,        105,        105,        1,  1548288, 17948912a2a423f2ee67c656b50d1dd1
0,        106,        106,        1,  1548288, 512f564724c8d9f25737a1e20d6d10f8
0,        107,        107,        1,  1548288, de9394c508cb08aa7c02838009469e37
0,        108,        108,        1,  1548288, 3d715e0d9e83e6edfc134183adc2a59c
0,        109,        109,        1,  1548288, 66f282083f058183a6e1de7b77bf0df7
0,        110,        110,        1,  1548288, 3e81cd544e18724885ad46388440fdb8
0,        111,        111,        1,  1548288, 51d82e27d0d1c5dc9d1ebb62cb44e383
0,        112,        112,        1,  1548288, e7cf0ea632178dfe09286fa1710df288
0,        113,        113,        1,  1548288, 3289b023875aa073f5c0030c186a4dc4
0,        114,        114,        1,  1548288, fa5b08713f721003dcedade61b1084d4
0,        115,        115,        1,  1548288, b05addc5274c53690316ff6130c86ddc
0,        116,        116,        1,  1548288, c3ce2ebed2909adb5566f9a736726de9
0,        117,        117,        1,  1548288, e387d1b732a59eda8bcaed0f577a5ecd
0,        118,        118,        1,  1548288, 15d45b668c464b3c24387a809e69536f
0,        119,        119,        1,  1548288, f84b2f458fa2af08dbad3907aa395129
0,        120,        120,        1,  1548288, 3e51fa424a7d37e86128e6bd83b4633e
0,        121,        121,        1,  1548288, 0b1baaa792e0de5e4dddbc5d7c1a2143
0,        122,        122,        1,  1548288, e2104e773c6ded2d1ef86d6de89ba4b4
0,        123,        123,        1,  1548288, cf3091c5e3f855f0004d4bd1dd051748
