#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf58.45.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1344x768
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,         79,         79,        1,  1548288, 9156a3b98965f0c5c3ca526018effff6
0,         80,         80,        1,  1548288, 6c47f8b7d3e982d5a7c1ee6a3d29c546
0,         81,         81,        1,  1548288, 82379818fb5f77fcb1271784f255295d
0,         82,         82,        1,  1548288, 02b6e60cd91319d85e3054f5174da215
0,         83,         83,        1,  1548288, dd70df2286fc665338418174f63d591e
0,         84,         84,        1,  1548288, 7b283735a3a465ea6e0cd8bcc9582782
0,         85,         85,        1,  1548288, 40c4e7b354428595eb3641785af10adf
0,         86,         86,        1,  1548288, 643f12d9432e0adcbea907a02a0f3f0e
0,         87,         87,        1,  1548288, b6490ab710caaa19cb577325729135d8
0,         88,         88,        1,  1548288, 0defbf0055419ddb2e9b6abdd417a6d0
0,         89,         89,        1,  1548288, bc3e1789b879d7c872a87a1aa4ecceb8
0,         90,         90,        1,  1548288, 2d5e62e64cc1b2e11da53e5326fb9acf
0,         91,         91,        1,  1548288, 2d3a7fdf27050d60f67ca841e1321630
0,         92,         92,        1,  1548288, 45f7720bea1b72ba486fda6e6b64f7ec
0,         93,         93,        1,  1548288, 3640b90d8b047f907c026fcdfae468f1
0,         94,         94,        1,  1548288, 90afd84202663cb2dd9faa28e2eba011
0,         95,         95,        1,  1548288, b44e2b09be4ed5000f689e749a69da44
0,         96,         96,        1,  1548288, 84efec4b458d540be1c5553dc078bd7d
0,         97,         97,        1,  1548288, 4cc6902a3a5fa6acc999fe66ac5c0499
0,         98,         98,        1,  1548288, be9271334273bf6f44ccee70f4aff827
0,         99,         99,        1,  1548288, 23a1aaf0035ac45321d8707003ea264e
0,        100,        100,        1,  1548288, 6abf83c83bba09b7edcae37a5eab4ec4
0,        101,        101,        1,  1548288, d8d785cc51a64df28c1144b43b429808
0,        102,        102,        1,  1548288, 4bdbb2aa38dd4261d6c7d28036844869
0,        103,        103,        1,  1548288, 1954070e4f6d80d64c143f47eb1fcdfd
0,        104,        104,        1,  1548288, d6e099815e875adad53e2c02584c09c3
0,        105,        105,        1,  1548288, 48f058e2ad7cff6c3341e30e85f01dd7
0,        106,        106,        1,  1548288, 320cb902d70e0aff618941c231ce6e5c
0,        107,        107,        1,  1548288, cf65d65f2af40e76062612bded4b4bed
0,        108,        108,        1,  1548288, 26a46eba6ca5023ea20e588a1cdbc3e6
0,        109,        109,        1,  1548288, 9ee64da7188490018850f80fd16d13b2
0,        110,        110,        1,  1548288, 5b1c91a76a1630e067be21f7be0ab9b4
0,        111,        111,        1,  1548288, a711dc3f79205c923a6f39e6404072b6
0,        112,        112,        1,  1548288, 02c172b5c379d3a5977a2f0c9657efd3
0,        113,        113,        1,  1548288, 8a3a9c4d92e52b14c2d27ab50df50084
0,        114,        114,        1,  1548288, a0892c69336f2249f47d6656e3ae092f
0,        115,        115,        1,  1548288, 6839ba00861a8371bffb1d9a0a75c24a
0,        116,        116,        1,  1548288, f8cd34e08697f5e930a90be756b6f2cd
0,        117,        117,        1,  1548288, 56fb28ac2f8907b92c3c99454b43d97a
0,        118,        118,        1,  1548288, a097a9bef9ebb84ff326ad9014b2e11c
0,        119,        119,        1,  1548288, 489d33e474d4d94184cf9088bee73e17
0,        120,        120,        1,  1548288, 5c5fa4c1ec26db8722ca8b9dacfd7377
0,        121,        121,        1,  1548288, 4fe1db3bbd54604c10acdfe61b591b66
0,        122,        122,        1,  1548288, 147fb16048e03b8f442129dce69e0fd5
0,        123,        123,        1,  1548288, 8a64d3a778b490c8ad8ca4d443facdc6
