[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.59998    TARGET:-23 LUFS    M: -30.5 S: -29.9     I: -30.1 LUFS       LRA:   1.2 LU  FTPK: -28.7 -27.8 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.69998    TARGET:-23 LUFS    M: -31.6 S: -30.0     I: -30.1 LUFS       LRA:   1.2 LU  FTPK: -24.3 -24.0 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.79998    TARGET:-23 LUFS    M: -33.0 S: -30.1     I: -30.2 LUFS       LRA:   1.2 LU  FTPK: -29.6 -28.9 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.89998    TARGET:-23 LUFS    M: -33.7 S: -30.2     I: -30.2 LUFS       LRA:   1.2 LU  FTPK: -31.5 -31.3 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.99998    TARGET:-23 LUFS    M: -32.9 S: -30.2     I: -30.2 LUFS       LRA:   1.2 LU  FTPK: -26.7 -26.9 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.09998    TARGET:-23 LUFS    M: -33.9 S: -30.6     I: -30.3 LUFS       LRA:   1.3 LU  FTPK: -27.6 -27.4 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.19998    TARGET:-23 LUFS    M: -34.0 S: -31.0     I: -30.3 LUFS       LRA:   1.5 LU  FTPK: -29.8 -29.6 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.29998    TARGET:-23 LUFS    M: -34.4 S: -31.2     I: -30.4 LUFS       LRA:   1.5 LU  FTPK: -32.2 -32.2 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.39998    TARGET:-23 LUFS    M: -24.2 S: -29.4     I: -30.2 LUFS       LRA:   1.5 LU  FTPK: -14.1 -14.0 dBFS  TPK: -14.1 -14.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.49998    TARGET:-23 LUFS    M: -21.4 S: -28.0     I: -29.7 LUFS       LRA:   1.5 LU  FTPK: -13.7 -13.7 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.59998    TARGET:-23 LUFS    M: -20.9 S: -27.7     I: -29.3 LUFS       LRA:   1.5 LU  FTPK: -14.6 -14.5 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.69998    TARGET:-23 LUFS    M: -20.8 S: -27.7     I: -29.0 LUFS       LRA:   2.5 LU  FTPK: -25.8 -25.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.79998    TARGET:-23 LUFS    M: -23.4 S: -27.8     I: -28.8 LUFS       LRA:   2.7 LU  FTPK: -34.5 -34.9 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.89998    TARGET:-23 LUFS    M: -28.9 S: -27.9     I: -28.8 LUFS       LRA:   2.7 LU  FTPK: -22.5 -22.6 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 7.99998    TARGET:-23 LUFS    M: -22.8 S: -26.4     I: -28.7 LUFS       LRA:   2.7 LU  FTPK: -13.9 -13.9 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.09998    TARGET:-23 LUFS    M: -21.3 S: -25.9     I: -28.4 LUFS       LRA:   2.8 LU  FTPK: -13.9 -13.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.19998    TARGET:-23 LUFS    M: -20.5 S: -25.6     I: -28.1 LUFS       LRA:   2.9 LU  FTPK: -14.1 -13.9 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.29998    TARGET:-23 LUFS    M: -19.6 S: -25.2     I: -27.8 LUFS       LRA:   4.1 LU  FTPK: -14.0 -14.1 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.39998    TARGET:-23 LUFS    M: -21.1 S: -24.9     I: -27.6 LUFS       LRA:   4.5 LU  FTPK: -14.0 -14.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.49998    TARGET:-23 LUFS    M: -22.7 S: -25.0     I: -27.5 LUFS       LRA:   4.8 LU  FTPK: -34.5 -35.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.59998    TARGET:-23 LUFS    M: -24.1 S: -25.0     I: -27.4 LUFS       LRA:   5.3 LU  FTPK: -32.8 -33.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.69998    TARGET:-23 LUFS    M: -27.7 S: -25.1     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -34.5 -33.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.79998    TARGET:-23 LUFS    M: -42.9 S: -25.1     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -34.5 -34.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.89998    TARGET:-23 LUFS    M: -42.4 S: -25.1     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -34.7 -34.3 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 8.99998    TARGET:-23 LUFS    M: -42.7 S: -25.1     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -34.8 -34.4 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.09998    TARGET:-23 LUFS    M: -42.9 S: -25.2     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -36.5 -36.9 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.19998    TARGET:-23 LUFS    M: -31.9 S: -25.1     I: -27.5 LUFS       LRA:   5.4 LU  FTPK: -16.3 -16.4 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.29998    TARGET:-23 LUFS    M: -23.9 S: -24.5     I: -27.4 LUFS       LRA:   5.4 LU  FTPK: -14.1 -14.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.39998    TARGET:-23 LUFS    M: -20.0 S: -23.7     I: -27.2 LUFS       LRA:   5.3 LU  FTPK: -13.8 -13.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.49998    TARGET:-23 LUFS    M: -19.0 S: -23.4     I: -26.9 LUFS       LRA:   5.5 LU  FTPK: -14.0 -13.8 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.59998    TARGET:-23 LUFS    M: -17.7 S: -22.8     I: -26.6 LUFS       LRA:   5.8 LU  FTPK: -14.0 -14.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.69998    TARGET:-23 LUFS    M: -17.9 S: -22.5     I: -26.3 LUFS       LRA:   6.6 LU  FTPK: -14.2 -14.2 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.79998    TARGET:-23 LUFS    M: -19.2 S: -22.4     I: -26.0 LUFS       LRA:   7.0 LU  FTPK: -14.0 -14.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.89998    TARGET:-23 LUFS    M: -19.2 S: -22.1     I: -25.8 LUFS       LRA:   7.5 LU  FTPK: -14.5 -14.4 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 9.99998    TARGET:-23 LUFS    M: -20.1 S: -21.9     I: -25.7 LUFS       LRA:   7.5 LU  FTPK: -14.2 -14.1 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 10.1       TARGET:-23 LUFS    M: -19.4 S: -21.5     I: -25.6 LUFS       LRA:   7.8 LU  FTPK: -14.1 -14.3 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 10.2       TARGET:-23 LUFS    M: -19.4 S: -21.4     I: -25.4 LUFS       LRA:   7.9 LU  FTPK: -14.2 -14.0 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 10.3       TARGET:-23 LUFS    M: -19.7 S: -21.2     I: -25.3 LUFS       LRA:   8.2 LU  FTPK: -14.2 -14.1 dBFS  TPK: -13.7 -13.7 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 10.4       TARGET:-23 LUFS    M: -18.7 S: -21.1     I: -25.1 LUFS       LRA:   8.4 LU  FTPK: -13.6 -13.7 dBFS  TPK: -13.6 -13.7 dBFS
